Gene_ID	Gene_Name
ENSMUSG00000106519	Gm38509
ENSMUSG00000033031	Cip2a
ENSMUSG00000024862	Klc2
ENSMUSG00000045348	Nyap1
ENSMUSG00000064604	Snora44
ENSMUSG00000028737	Aldh4a1
ENSMUSG00000022548	Apod
ENSMUSG00000030990	Pgap2
ENSMUSG00000075704	Txnrd2
ENSMUSG00000037902	Sirpa
ENSMUSG00000005981	Trap1
ENSMUSG00000073158	9030624G23Rik
ENSMUSG00000030898	Cckbr
ENSMUSG00000043670	Diras1
ENSMUSG00000031342	Gpm6b
ENSMUSG00000085162	Gm12295
ENSMUSG00000089917	Uckl1
ENSMUSG00000005102	Eif2ak4
ENSMUSG00000038365	Fbxo25
ENSMUSG00000041954	Tnfrsf18
ENSMUSG00000057054	Inca1
ENSMUSG00000060572	Mfap2
ENSMUSG00000041429	Nthl1
ENSMUSG00000001173	Ocrl
ENSMUSG00000030217	Art4
ENSMUSG00000073535	Gm5532
ENSMUSG00000040957	Cables1
ENSMUSG00000032336	Nptn
ENSMUSG00000053600	Zfp472
ENSMUSG00000078060	Mir466l
ENSMUSG00000028963	Uts2
ENSMUSG00000078653	Cntd1
ENSMUSG00000096377	Mir5123
ENSMUSG00000020346	Mgat1
ENSMUSG00000065939	Snora2b
ENSMUSG00000062312	Erbb2
ENSMUSG00000106333	4930428O21Rik
ENSMUSG00000036551	Akap14
ENSMUSG00000004100	Ppan
ENSMUSG00000027712	Anxa5
ENSMUSG00000039967	Zfp292
ENSMUSG00000028917	Plekhm2
ENSMUSG00000034880	Mrpl34
ENSMUSG00000090515	Krtap27-1
ENSMUSG00000030774	Pak1
ENSMUSG00000022382	Wnt7b
ENSMUSG00000029250	Polr2b
ENSMUSG00000023243	Kcnk5
ENSMUSG00000056130	Ticam2
ENSMUSG00000090564	A430057M04Rik
ENSMUSG00000021441	Cts6
ENSMUSG00000074867	Zfp808
ENSMUSG00000031150	Ccdc120
ENSMUSG00000026739	Bmi1
ENSMUSG00000028233	Tgs1
ENSMUSG00000042572	Ube2q1
ENSMUSG00000058905	Gm10051
ENSMUSG00000025576	Rbfox3
ENSMUSG00000077704	Snord89
ENSMUSG00000032855	Pkd1
ENSMUSG00000031659	Adcy7
ENSMUSG00000068015	Lrch1
ENSMUSG00000106847	Peg13
ENSMUSG00000026825	Dnm1
ENSMUSG00000010651	Acaa1b
ENSMUSG00000094098	Vmn2r44
ENSMUSG00000071451	Psmg4
ENSMUSG00000031555	Adam9
ENSMUSG00000034868	Myl12b
ENSMUSG00000024181	Mrpl28
ENSMUSG00000028965	Tnfrsf9
ENSMUSG00000024456	Diaph1
ENSMUSG00000002814	Top3a
ENSMUSG00000072683	Gm7457
ENSMUSG00000101304	Plet1os
ENSMUSG00000017146	Brca1
ENSMUSG00000033703	Fcsk
ENSMUSG00000015579	Nkx2-5
ENSMUSG00000059923	Grb2
ENSMUSG00000006289	Osgep
ENSMUSG00000015966	Il17rb
ENSMUSG00000097425	Vmn1r181
ENSMUSG00000030752	Kdm8
ENSMUSG00000079704	Gm14459
ENSMUSG00000028456	Unc13b
ENSMUSG00000045555	Mettl24
ENSMUSG00000065431	Mir186
ENSMUSG00000035351	Nup37
ENSMUSG00000006200	Rhox6
ENSMUSG00000008393	Carhsp1
ENSMUSG00000020723	Cacng4
ENSMUSG00000001150	Mcm3ap
ENSMUSG00000048500	Defb15
ENSMUSG00000033318	Gstt2
ENSMUSG00000065471	Mir222
ENSMUSG00000005057	Sh2b2
ENSMUSG00000022371	Col14a1
ENSMUSG00000030538	Cib1
ENSMUSG00000027875	Hmgcs2
ENSMUSG00000063660	Olfr98
